objectid,lad20cd,lad20nm,lad20nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
145,E07000125,Rossendale, ,382827,420955,-2.26149,53.68478,138040909.285535,71149.8048128627
146,E07000126,South Ribble, ,352017,425840,-2.72871,53.726749,114615081.373268,75383.6527686959
147,E07000127,West Lancashire, ,342611,413270,-2.86893,53.612831,381380161.892672,145250.336292132
148,E07000128,Wyre, ,347295,445159,-2.80359,53.89991,328771426.181076,138656.625513343
149,E07000129,Blaby, ,454385,297994,-1.19887,52.577061,130468676.865863,100819.966891311
150,E07000130,Charnwood, ,458365,316155,-1.13694,52.739899,279042271.327479,115474.390922691
151,E07000131,Harborough, ,474549,293875,-0.90229,52.537659,592692049.698518,185950.911968042
152,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41755,52.608768,297351486.799213,111546.302486769
153,E07000133,Melton, ,477328,323472,-0.8544,52.803291,481380515.19138,140629.640964362
154,E07000134,North West Leicestershire, ,439111,316252,-1.42209,52.7425,279328072.743158,116453.203897833
155,E07000135,Oadby and Wigston, ,461543,299379,-1.093,52.588749,23526096.6872213,31172.0311908227
156,E07000136,Boston, ,526851,343953,-0.11218,52.97794,397792715.756801,114897.516157451
157,E07000137,East Lindsey, ,534861,376064,0.020516,53.264462,1830857239.34751,212616.528055612
158,E07000138,Lincoln, ,496347,370096,-0.55848,53.219212,35690272.5784081,32969.8765973572
159,E07000139,North Kesteven, ,502135,354788,-0.4767,53.080582,922471388.542526,181807.859532356
160,E07000140,South Holland, ,532909,322928,-0.03058,52.787579,815503693.298156,193039.71205948
161,E07000141,South Kesteven, ,501406,328986,-0.49565,52.84885,942585797.656932,209816.52026069
162,E07000142,West Lindsey, ,499314,390326,-0.50774,53.40044,1157652127.10018,247208.654846691
163,E07000143,Breckland, ,591015,303330,0.818716,52.594212,1305116639.16855,239527.753628762
164,E07000144,Broadland, ,619864,315909,1.252317,52.69622,553244221.733805,202159.021634067
165,E07000145,Great Yarmouth, ,646761,315881,1.64951,52.684391,182555479.804693,85346.3241480736
166,E07000146,King's Lynn and West Norfolk, ,571219,315805,0.533243,52.71283,1526900797.23145,286705.122822477
167,E07000147,North Norfolk, ,611076,330857,1.132099,52.833889,989991036.351137,234416.946379953
168,E07000148,Norwich, ,622355,309773,1.284979,52.640129,40554156.979031,91965.5009744563
169,E07000149,South Norfolk, ,628990,295823,1.373233,52.51218,908906501.419995,231382.604670286
170,E07000150,Corby, ,487862,290681,-0.7069,52.506969,80280903.1356507,66291.6315252841
171,E07000151,Daventry, ,467286,268437,-1.01447,52.30994,665600468.851015,181982.944966596
172,E07000152,East Northamptonshire, ,501344,287839,-0.5092,52.479092,509787257.634919,163229.120046969
173,E07000153,Kettering, ,483866,282852,-0.76773,52.437229,233489923.713025,100689.50113166
174,E07000154,Northampton, ,476495,260539,-0.88121,52.237751,80771938.7916583,46341.524426597
175,E07000155,South Northamptonshire, ,463000,247077,-1.08129,52.118439,634023185.055838,225304.98890192
176,E07000156,Wellingborough, ,487787,266827,-0.71425,52.29258,163036490.492432,69758.4194633621
177,E07000163,Craven, ,389513,461989,-2.16168,54.053761,1178807442.49167,199883.769775129
178,E07000164,Hambleton, ,443009,490546,-1.34049,54.30872,1311228139.76122,298519.898029617
179,E07000165,Harrogate, ,427473,464652,-1.58161,54.07708,1309127592.7605,246964.624319687
180,E07000166,Richmondshire, ,401039,495786,-1.98552,54.357609,1318707276.30363,221710.071604994
181,E07000167,Ryedale, ,475590,478890,-0.84277,54.200211,1506593776.95573,249894.29308483
182,E07000168,Scarborough, ,495798,495548,-0.52778,54.3465,825504990.062282,272569.9140183
183,E07000169,Selby, ,457551,426670,-1.12908,53.733269,602223253.276035,171511.116108369
184,E07000170,Ashfield, ,450035,355843,-1.25422,53.097469,109557941.106055,69174.8494196315
185,E07000171,Bassetlaw, ,468073,384835,-0.9787,53.356041,639492658.985146,155040.412803696
186,E07000172,Broxtowe, ,449829,341893,-1.25944,52.972099,80098837.1288312,65999.8327992576
187,E07000173,Gedling, ,459184,347811,-1.11907,53.024342,119981505.017305,69754.673763989
188,E07000174,Mansfield, ,455047,363637,-1.17804,53.16703,76696898.5856726,51090.8571646527
189,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,651835337.331535,179821.891394676
190,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.912399,409231535.284401,123324.432735933
191,E07000177,Cherwell, ,449301,221201,-1.28506,51.887199,588741170.216274,225626.554294152
192,E07000178,Oxford, ,452277,206368,-1.24405,51.753571,45602912.6828515,34999.6552171434
